Phase 3 Variable Inventory (all eight sources) -- Run:   26AUG2026:14:28:22
Source               Variable                          Type    Length
MASTER_DATA_3        LOS                                 1         8
MASTER_DATA_3        LOS_in_Hours                        1         8
MASTER_DATA_3        Payer                               2        12
MASTER_DATA_3        Charges                             1         8
MASTER_DATA_3        ICD10_Principal_Diagnosis_Desc      2        60
MASTER_DATA_3        ICD10_Principal_Diagnosis           2         7
MASTER_DATA_3        Charlson_Comorbidity_Index          1         8
MASTER_DATA_3        COMP10_T80                          1         8
MASTER_DATA_3        COMP10_T81                          1         8
MASTER_DATA_3        COMP10_T82                          1         8
MASTER_DATA_3        COMP10_T83                          1         8
MASTER_DATA_3        COMP10_T84                          1         8
MASTER_DATA_3        COMP10_T85                          1         8
MASTER_DATA_3        COMP10_T86                          1         8
MASTER_DATA_3        COMP10_T87                          1         8
MASTER_DATA_3        COMP10_T88                          1         8
MASTER_DATA_3        complication_sum                    1         8
MASTER_DATA_3        Intraop_Ketamine                    2         1
MASTER_DATA_3        Preop_block                         2         1
MASTER_DATA_3        Admit_Source                        2        40
MASTER_DATA_3        Dischg_Disposition                  2        43
MASTER_DATA_3        Death_Days_After_Surgery            1         8
MASTER_DATA_3        Death_Date_Y_N                      2         1
MASTER_DATA_3        SSDI_Death_Date_Y_N                 2         1
MASTER_DATA_3        Anesthesia_Type                     2        33
MASTER_DATA_3        Sleep_Apnea_YN                      2         1
MASTER_DATA_3        Diabetes_YN                         2         1
MASTER_DATA_3        Hyperlipidemia_YN                   2         1
MASTER_DATA_3        Hypertension_YN                     2         1
MASTER_DATA_3        MovementDisorder_YN                 2         1
MASTER_DATA_3        CognitiveDisorder_YN                2         1
MASTER_DATA_3        Cognitive_Category                  2        22
MASTER_DATA_3        Cognitive_Score                     1         8
MASTER_DATA_3        Frailty_Category                    2        24
MASTER_DATA_3        Frailty_Score                       1         8
MASTER_DATA_3        Feels_Exausted_Value                1         8
MASTER_DATA_3        Low_Physical_Activity_Value         1         8
MASTER_DATA_3        Slow_Walking_Speed_Value            1         8
MASTER_DATA_3        Unintended_Weight_Loss_Value        1         8
MASTER_DATA_3        Week_Grip_Strength_Value            1         8
MASTER_DATA_3        Braden_Activity                     1         8
MASTER_DATA_3        Braden_Mobility                     1         8
MASTER_DATA_3        Braden_Sensory_Perception           1         8
MASTER_DATA_3        Latitude                            1         8
MASTER_DATA_3        Longitude                           1         8
MASTER_DATA_3        Propofol_mg_IntraOp_Total           1         8
MASTER_DATA_3        Ketamine_mg_IntraOp_Total           1         8
MASTER_DATA_3        fentaNYL_SUBLIMAZE_mg_IntraOp_To    1         8
MASTER_DATA_3        Sufentanil_mg_IntraOp_Total         1         8
MASTER_DATA_3        Hydromorphone_mg_IntraOp_Total      1         8
